ts,train_id,fouling_index_true,polytropic_eff_true,specific_energy_kwh_per_t_true,health_index_true,rul_hours_to_next_wash_true
2024-01-03 06:00:00,CGC-100A,0.00947,0.81179,94.983,0.9842,2624.0
2024-01-03 07:00:00,CGC-100A,0.00964,0.81089,95.957,0.9839,2623.0
2024-01-03 08:00:00,CGC-100A,0.0098,0.8097,96.663,0.9837,2622.0
2024-01-03 09:00:00,CGC-100A,0.00997,0.80945,95.083,0.9834,2621.0
2024-01-03 10:00:00,CGC-100A,0.01014,0.80968,94.161,0.9831,2620.0
2024-01-03 11:00:00,CGC-100A,0.01031,0.81768,94.432,0.9828,2619.0
2024-01-03 12:00:00,CGC-100A,0.01048,0.81797,94.251,0.9825,2618.0
2024-01-03 13:00:00,CGC-100A,0.01064,0.81422,94.397,0.9823,2617.0
2024-01-03 14:00:00,CGC-100A,0.01081,0.80879,94.059,0.982,2616.0
2024-01-03 15:00:00,CGC-100A,0.01098,0.81369,93.555,0.9817,2615.0
2024-01-03 16:00:00,CGC-100A,0.01114,0.81345,93.559,0.9814,2614.0
2024-01-03 17:00:00,CGC-100A,0.01131,0.81353,94.082,0.9811,2613.0
2024-01-03 18:00:00,CGC-100A,0.01148,0.80244,92.719,0.9809,2612.0
2024-01-03 19:00:00,CGC-100A,0.01166,0.81519,93.609,0.9806,2611.0
2024-01-03 20:00:00,CGC-100A,0.01183,0.81501,93.675,0.9803,2610.0
2024-01-03 21:00:00,CGC-100A,0.012,0.80972,93.915,0.98,2609.0
2024-01-03 22:00:00,CGC-100A,0.01216,0.81288,93.258,0.9797,2608.0
2024-01-03 23:00:00,CGC-100A,0.01231,0.81385,93.109,0.9795,2607.0
2024-01-04 00:00:00,CGC-100A,0.01246,0.81148,93.928,0.9792,2606.0
2024-01-04 01:00:00,CGC-100A,0.0126,0.81258,94.194,0.979,2605.0
2024-01-04 02:00:00,CGC-100A,0.01275,0.81636,94.212,0.9787,2604.0
2024-01-04 03:00:00,CGC-100A,0.01291,0.81837,94.256,0.9785,2603.0
2024-01-04 04:00:00,CGC-100A,0.01308,0.81571,94.732,0.9782,2602.0
2024-01-04 05:00:00,CGC-100A,0.01325,0.81275,95.583,0.9779,2601.0
2024-01-04 06:00:00,CGC-100A,0.01343,0.81179,94.479,0.9776,2600.0
2024-01-04 07:00:00,CGC-100A,0.01362,0.81661,94.886,0.9773,2599.0
2024-01-04 08:00:00,CGC-100A,0.0138,0.80886,95.502,0.977,2598.0
2024-01-04 09:00:00,CGC-100A,0.01398,0.81211,95.354,0.9767,2597.0
2024-01-04 10:00:00,CGC-100A,0.01417,0.80941,95.481,0.9764,2596.0
2024-01-04 11:00:00,CGC-100A,0.01435,0.80976,94.297,0.9761,2595.0
2024-01-04 12:00:00,CGC-100A,0.01452,0.81231,94.031,0.9758,2594.0
2024-01-04 13:00:00,CGC-100A,0.01469,0.81462,94.627,0.9755,2593.0
2024-01-04 14:00:00,CGC-100A,0.01485,0.81436,95.627,0.9752,2592.0
2024-01-04 15:00:00,CGC-100A,0.01501,0.81489,94.591,0.975,2591.0
2024-01-04 16:00:00,CGC-100A,0.01517,0.81914,95.753,0.9747,2590.0
2024-01-04 17:00:00,CGC-100A,0.01534,0.81518,94.66,0.9744,2589.0
2024-01-04 18:00:00,CGC-100A,0.0155,0.81592,94.882,0.9742,2588.0
2024-01-04 19:00:00,CGC-100A,0.01568,0.81254,94.843,0.9739,2587.0
2024-01-04 20:00:00,CGC-100A,0.01585,0.8112,94.352,0.9736,2586.0
2024-01-04 21:00:00,CGC-100A,0.01603,0.81122,94.542,0.9733,2585.0
2024-01-04 22:00:00,CGC-100A,0.01621,0.80966,93.944,0.973,2584.0
2024-01-04 23:00:00,CGC-100A,0.01638,0.81504,94.929,0.9727,2583.0
2024-01-05 00:00:00,CGC-100A,0.01654,0.81012,95.687,0.9724,2582.0
2024-01-05 01:00:00,CGC-100A,0.01671,0.80616,95.039,0.9721,2581.0
2024-01-05 02:00:00,CGC-100A,0.01687,0.81021,95.967,0.9719,2580.0
2024-01-05 03:00:00,CGC-100A,0.01704,0.80899,94.952,0.9716,2579.0
2024-01-05 04:00:00,CGC-100A,0.0172,0.80119,95.235,0.9713,2578.0
2024-01-05 05:00:00,CGC-100A,0.01737,0.81276,94.801,0.971,2577.0
2024-01-05 06:00:00,CGC-100A,0.01755,0.81159,94.131,0.9707,2576.0
2024-01-05 07:00:00,CGC-100A,0.01773,0.80998,95.136,0.9704,2575.0
2024-01-05 08:00:00,CGC-100A,0.01792,0.81035,95.591,0.9701,2574.0
2024-01-05 09:00:00,CGC-100A,0.0181,0.81643,96.57,0.9698,2573.0
2024-01-05 10:00:00,CGC-100A,0.01828,0.81066,94.93,0.9695,2572.0
2024-01-05 11:00:00,CGC-100A,0.01846,0.81097,94.047,0.9692,2571.0
2024-01-05 12:00:00,CGC-100A,0.01863,0.80897,94.128,0.969,2570.0
2024-01-05 13:00:00,CGC-100A,0.0188,0.81375,94.031,0.9687,2569.0
2024-01-05 14:00:00,CGC-100A,0.01896,0.80926,94.008,0.9684,2568.0
2024-01-05 15:00:00,CGC-100A,0.01913,0.81312,93.517,0.9681,2567.0
2024-01-05 16:00:00,CGC-100A,0.0193,0.81188,94.287,0.9678,2566.0
2024-01-05 17:00:00,CGC-100A,0.01947,0.81132,94.532,0.9676,2565.0
2024-01-05 18:00:00,CGC-100A,0.01964,0.8081,94.148,0.9673,2564.0
2024-01-05 19:00:00,CGC-100A,0.01982,0.81138,94.592,0.967,2563.0
2024-01-05 20:00:00,CGC-100A,0.01999,0.81028,95.075,0.9667,2562.0
2024-01-05 21:00:00,CGC-100A,0.02016,0.8137,94.36,0.9664,2561.0
2024-01-05 22:00:00,CGC-100A,0.02033,0.81253,94.802,0.9661,2560.0
2024-01-05 23:00:00,CGC-100A,0.0205,0.80979,94.012,0.9658,2559.0
2024-01-06 00:00:00,CGC-100A,0.02068,0.81402,95.561,0.9655,2558.0
2024-01-06 01:00:00,CGC-100A,0.02085,0.80998,94.897,0.9652,2557.0
2024-01-06 02:00:00,CGC-100A,0.02103,0.81217,95.539,0.965,2556.0
2024-01-06 03:00:00,CGC-100A,0.0212,0.80578,95.246,0.9647,2555.0
2024-01-06 04:00:00,CGC-100A,0.02137,0.80755,95.185,0.9644,2554.0
2024-01-06 05:00:00,CGC-100A,0.02155,0.81006,96.06,0.9641,2553.0
2024-01-06 06:00:00,CGC-100A,0.02173,0.81111,95.93,0.9638,2552.0
2024-01-06 07:00:00,CGC-100A,0.02189,0.80745,96.277,0.9635,2551.0
2024-01-06 08:00:00,CGC-100A,0.02207,0.81325,94.882,0.9632,2550.0
2024-01-06 09:00:00,CGC-100A,0.02225,0.81396,95.448,0.9629,2549.0
2024-01-06 10:00:00,CGC-100A,0.02242,0.80672,95.146,0.9626,2548.0
2024-01-06 11:00:00,CGC-100A,0.02259,0.81071,94.915,0.9624,2547.0
2024-01-06 12:00:00,CGC-100A,0.02276,0.81424,94.861,0.9621,2546.0
2024-01-06 13:00:00,CGC-100A,0.02294,0.81302,93.219,0.9618,2545.0
2024-01-06 14:00:00,CGC-100A,0.0231,0.81299,94.719,0.9615,2544.0
2024-01-06 15:00:00,CGC-100A,0.02327,0.8134,93.335,0.9612,2543.0
2024-01-06 16:00:00,CGC-100A,0.02343,0.81076,94.271,0.9609,2542.0
2024-01-06 17:00:00,CGC-100A,0.0236,0.80723,93.776,0.9607,2541.0
2024-01-06 18:00:00,CGC-100A,0.02376,0.80696,95.44,0.9604,2540.0
2024-01-06 19:00:00,CGC-100A,0.02393,0.81005,95.852,0.9601,2539.0
2024-01-06 20:00:00,CGC-100A,0.02409,0.81093,95.54,0.9598,2538.0
2024-01-06 21:00:00,CGC-100A,0.02425,0.80899,95.004,0.9596,2537.0
2024-01-06 22:00:00,CGC-100A,0.02442,0.81001,94.492,0.9593,2536.0
2024-01-06 23:00:00,CGC-100A,0.02458,0.80493,95.178,0.959,2535.0
2024-01-07 00:00:00,CGC-100A,0.02474,0.81113,94.696,0.9588,2534.0
2024-01-07 01:00:00,CGC-100A,0.0249,0.80382,95.329,0.9585,2533.0
2024-01-07 02:00:00,CGC-100A,0.02508,0.81307,94.734,0.9582,2532.0
2024-01-07 03:00:00,CGC-100A,0.02525,0.80868,94.417,0.9579,2531.0
2024-01-07 04:00:00,CGC-100A,0.02542,0.81126,95.258,0.9576,2530.0
2024-01-07 05:00:00,CGC-100A,0.02558,0.8081,94.432,0.9574,2529.0
2024-01-07 06:00:00,CGC-100A,0.02575,0.81015,94.568,0.9571,2528.0
2024-01-07 07:00:00,CGC-100A,0.02592,0.80845,93.767,0.9568,2527.0
2024-01-07 08:00:00,CGC-100A,0.02609,0.80718,94.103,0.9565,2526.0
2024-01-07 09:00:00,CGC-100A,0.02627,0.8131,94.846,0.9562,2525.0
2024-01-07 10:00:00,CGC-100A,0.02646,0.80635,94.75,0.9559,2524.0
2024-01-07 11:00:00,CGC-100A,0.02664,0.81012,94.907,0.9556,2523.0
2024-01-07 12:00:00,CGC-100A,0.02683,0.80806,95.581,0.9553,2522.0
2024-01-07 13:00:00,CGC-100A,0.02702,0.80991,95.927,0.955,2521.0
2024-01-07 14:00:00,CGC-100A,0.02721,0.8101,95.106,0.9547,2520.0
2024-01-07 15:00:00,CGC-100A,0.02739,0.80978,95.892,0.9544,2519.0
2024-01-07 16:00:00,CGC-100A,0.02757,0.8032,96.76,0.9541,2518.0
2024-01-07 17:00:00,CGC-100A,0.02774,0.80828,96.047,0.9538,2517.0
2024-01-07 18:00:00,CGC-100A,0.02791,0.80915,95.976,0.9535,2516.0
2024-01-07 19:00:00,CGC-100A,0.02808,0.81478,94.799,0.9532,2515.0
2024-01-07 20:00:00,CGC-100A,0.02827,0.80711,94.011,0.9529,2514.0
2024-01-07 21:00:00,CGC-100A,0.02844,0.80495,94.043,0.9526,2513.0
2024-01-07 22:00:00,CGC-100A,0.02862,0.80945,94.674,0.9523,2512.0
2024-01-07 23:00:00,CGC-100A,0.02878,0.81654,93.951,0.952,2511.0
2024-01-08 00:00:00,CGC-100A,0.02895,0.80305,95.166,0.9518,2510.0
2024-01-08 01:00:00,CGC-100A,0.02911,0.80628,94.36,0.9515,2509.0
2024-01-08 02:00:00,CGC-100A,0.02927,0.80123,93.974,0.9512,2508.0
2024-01-08 03:00:00,CGC-100A,0.02943,0.81057,94.201,0.9509,2507.0
2024-01-08 04:00:00,CGC-100A,0.0296,0.80133,93.948,0.9507,2506.0
2024-01-08 05:00:00,CGC-100A,0.02977,0.80994,93.964,0.9504,2505.0
2024-01-08 06:00:00,CGC-100A,0.02993,0.8119,93.352,0.9501,2504.0
2024-01-08 07:00:00,CGC-100A,0.0301,0.80258,94.831,0.9498,2503.0
2024-01-08 08:00:00,CGC-100A,0.03026,0.81253,95.833,0.9496,2502.0
2024-01-08 09:00:00,CGC-100A,0.03042,0.81031,95.479,0.9493,2501.0
2024-01-08 10:00:00,CGC-100A,0.03059,0.80932,95.107,0.949,2500.0
2024-01-08 11:00:00,CGC-100A,0.03076,0.80421,95.449,0.9487,2499.0
2024-01-08 12:00:00,CGC-100A,0.03093,0.80633,95.817,0.9484,2498.0
2024-01-08 13:00:00,CGC-100A,0.03111,0.80582,97.196,0.9482,2497.0
2024-01-08 14:00:00,CGC-100A,0.0313,0.80291,95.879,0.9478,2496.0
2024-01-08 15:00:00,CGC-100A,0.03149,0.80657,94.807,0.9475,2495.0
2024-01-08 16:00:00,CGC-100A,0.03167,0.8106,93.806,0.9472,2494.0
2024-01-08 17:00:00,CGC-100A,0.03186,0.80826,95.661,0.9469,2493.0
2024-01-08 18:00:00,CGC-100A,0.03204,0.80681,95.223,0.9466,2492.0
2024-01-08 19:00:00,CGC-100A,0.03222,0.80492,93.918,0.9463,2491.0
2024-01-08 20:00:00,CGC-100A,0.0324,0.81178,94.787,0.946,2490.0
2024-01-08 21:00:00,CGC-100A,0.03257,0.81068,96.299,0.9457,2489.0
2024-01-08 22:00:00,CGC-100A,0.03273,0.80348,95.833,0.9455,2488.0
2024-01-08 23:00:00,CGC-100A,0.03289,0.80335,94.529,0.9452,2487.0
2024-01-09 00:00:00,CGC-100A,0.03306,0.81087,95.095,0.9449,2486.0
2024-01-09 01:00:00,CGC-100A,0.03322,0.80383,96.607,0.9446,2485.0
2024-01-09 02:00:00,CGC-100A,0.03338,0.80821,96.181,0.9444,2484.0
2024-01-09 03:00:00,CGC-100A,0.03354,0.8114,95.809,0.9441,2483.0
2024-01-09 04:00:00,CGC-100A,0.0337,0.80426,95.259,0.9438,2482.0
2024-01-09 05:00:00,CGC-100A,0.03387,0.80617,95.362,0.9436,2481.0
2024-01-09 06:00:00,CGC-100A,0.03403,0.81177,96.566,0.9433,2480.0
2024-01-09 07:00:00,CGC-100A,0.0342,0.80846,95.521,0.943,2479.0
2024-01-09 08:00:00,CGC-100A,0.03437,0.81294,95.24,0.9427,2478.0
2024-01-09 09:00:00,CGC-100A,0.03454,0.80407,95.096,0.9424,2477.0
2024-01-09 10:00:00,CGC-100A,0.0347,0.80886,96.369,0.9422,2476.0
2024-01-09 11:00:00,CGC-100A,0.03486,0.80513,96.277,0.9419,2475.0
2024-01-09 12:00:00,CGC-100A,0.03502,0.80143,96.045,0.9416,2474.0
2024-01-09 13:00:00,CGC-100A,0.03518,0.80312,96.515,0.9414,2473.0
2024-01-09 14:00:00,CGC-100A,0.03534,0.8093,96.12,0.9411,2472.0
2024-01-09 15:00:00,CGC-100A,0.03551,0.80397,94.829,0.9408,2471.0
2024-01-09 16:00:00,CGC-100A,0.03568,0.80842,94.574,0.9405,2470.0
2024-01-09 17:00:00,CGC-100A,0.03584,0.80677,94.786,0.9403,2469.0
2024-01-09 18:00:00,CGC-100A,0.036,0.81102,94.903,0.94,2468.0
2024-01-09 19:00:00,CGC-100A,0.03617,0.80513,95.097,0.9397,2467.0
2024-01-09 20:00:00,CGC-100A,0.03633,0.80805,94.631,0.9394,2466.0
2024-01-09 21:00:00,CGC-100A,0.03649,0.8058,94.827,0.9392,2465.0
2024-01-09 22:00:00,CGC-100A,0.03665,0.81068,94.516,0.9389,2464.0
2024-01-09 23:00:00,CGC-100A,0.03682,0.80586,95.611,0.9386,2463.0
2024-01-10 00:00:00,CGC-100A,0.037,0.80132,93.69,0.9383,2462.0
2024-01-10 01:00:00,CGC-100A,0.03719,0.81028,95.172,0.938,2461.0
2024-01-10 02:00:00,CGC-100A,0.03736,0.80861,93.352,0.9377,2460.0
2024-01-10 03:00:00,CGC-100A,0.03754,0.80408,95.085,0.9374,2459.0
2024-01-10 04:00:00,CGC-100A,0.03772,0.80906,95.501,0.9371,2458.0
2024-01-10 05:00:00,CGC-100A,0.03789,0.801,94.719,0.9368,2457.0
2024-01-10 06:00:00,CGC-100A,0.03806,0.80419,94.562,0.9366,2456.0
2024-01-10 07:00:00,CGC-100A,0.03824,0.80656,95.09,0.9363,2455.0
2024-01-10 08:00:00,CGC-100A,0.03841,0.803,95.575,0.936,2454.0
2024-01-10 09:00:00,CGC-100A,0.03859,0.80747,94.74,0.9357,2453.0
2024-01-10 10:00:00,CGC-100A,0.03876,0.80418,94.15,0.9354,2452.0
2024-01-10 11:00:00,CGC-100A,0.03896,0.8038,94.667,0.9351,2451.0
2024-01-10 12:00:00,CGC-100A,0.03914,0.80195,95.468,0.9348,2450.0
2024-01-10 13:00:00,CGC-100A,0.03932,0.81192,94.474,0.9345,2449.0
2024-01-10 14:00:00,CGC-100A,0.0395,0.80405,95.764,0.9342,2448.0
2024-01-10 15:00:00,CGC-100A,0.03969,0.80472,95.49,0.9339,2447.0
2024-01-10 16:00:00,CGC-100A,0.03986,0.80419,95.17,0.9336,2446.0
2024-01-10 17:00:00,CGC-100A,0.04004,0.8085,96.628,0.9333,2445.0
2024-01-10 18:00:00,CGC-100A,0.04022,0.80448,96.495,0.933,2444.0
2024-01-10 19:00:00,CGC-100A,0.0404,0.80159,96.784,0.9327,2443.0
2024-01-10 20:00:00,CGC-100A,0.04058,0.8074,95.273,0.9324,2442.0
2024-01-10 21:00:00,CGC-100A,0.04076,0.80691,95.395,0.9321,2441.0
2024-01-10 22:00:00,CGC-100A,0.04093,0.80569,94.73,0.9318,2440.0
2024-01-10 23:00:00,CGC-100A,0.0411,0.80346,93.743,0.9315,2439.0
2024-01-11 00:00:00,CGC-100A,0.04128,0.80316,94.598,0.9312,2438.0
2024-01-11 01:00:00,CGC-100A,0.04146,0.80123,94.509,0.9309,2437.0
2024-01-11 02:00:00,CGC-100A,0.04163,0.81441,92.993,0.9306,2436.0
2024-01-11 03:00:00,CGC-100A,0.04181,0.8017,93.703,0.9303,2435.0
2024-01-11 04:00:00,CGC-100A,0.04199,0.80589,94.652,0.93,2434.0
2024-01-11 05:00:00,CGC-100A,0.04216,0.80526,93.752,0.9297,2433.0
2024-01-11 06:00:00,CGC-100A,0.04232,0.81096,94.438,0.9295,2432.0
2024-01-11 07:00:00,CGC-100A,0.04248,0.80208,93.93,0.9292,2431.0
2024-01-11 08:00:00,CGC-100A,0.04264,0.80555,95.488,0.9289,2430.0
2024-01-11 09:00:00,CGC-100A,0.0428,0.80215,95.106,0.9287,2429.0
2024-01-11 10:00:00,CGC-100A,0.04296,0.8088,95.652,0.9284,2428.0
2024-01-11 11:00:00,CGC-100A,0.04312,0.80517,96.87,0.9281,2427.0
2024-01-11 12:00:00,CGC-100A,0.04328,0.80981,95.833,0.9279,2426.0
2024-01-11 13:00:00,CGC-100A,0.04347,0.80302,96.599,0.9276,2425.0
2024-01-11 14:00:00,CGC-100A,0.04364,0.81009,95.711,0.9273,2424.0
2024-01-11 15:00:00,CGC-100A,0.04382,0.80208,94.033,0.927,2423.0
2024-01-11 16:00:00,CGC-100A,0.04399,0.81087,94.958,0.9267,2422.0
2024-01-11 17:00:00,CGC-100A,0.04417,0.80569,92.598,0.9264,2421.0
2024-01-11 18:00:00,CGC-100A,0.04435,0.80247,94.619,0.9261,2420.0
2024-01-11 19:00:00,CGC-100A,0.04452,0.80456,95.202,0.9258,2419.0
2024-01-11 20:00:00,CGC-100A,0.0447,0.81037,94.696,0.9255,2418.0
2024-01-11 21:00:00,CGC-100A,0.04488,0.80579,94.473,0.9252,2417.0
2024-01-11 22:00:00,CGC-100A,0.04506,0.80836,93.49,0.9249,2416.0
2024-01-11 23:00:00,CGC-100A,0.04523,0.80602,94.317,0.9246,2415.0
2024-01-12 00:00:00,CGC-100A,0.0454,0.8078,94.706,0.9243,2414.0
2024-01-12 01:00:00,CGC-100A,0.04558,0.81019,93.779,0.924,2413.0
2024-01-12 02:00:00,CGC-100A,0.04574,0.80135,94.577,0.9238,2412.0
2024-01-12 03:00:00,CGC-100A,0.04592,0.81051,94.757,0.9235,2411.0
2024-01-12 04:00:00,CGC-100A,0.0461,0.80432,95.298,0.9232,2410.0
2024-01-12 05:00:00,CGC-100A,0.04627,0.80699,94.75,0.9229,2409.0
2024-01-12 06:00:00,CGC-100A,0.04645,0.80935,94.819,0.9226,2408.0
2024-01-12 07:00:00,CGC-100A,0.04663,0.80716,94.712,0.9223,2407.0
2024-01-12 08:00:00,CGC-100A,0.04682,0.81003,96.298,0.922,2406.0
2024-01-12 09:00:00,CGC-100A,0.047,0.79554,95.7,0.9217,2405.0
2024-01-12 10:00:00,CGC-100A,0.04719,0.80212,94.604,0.9213,2404.0
2024-01-12 11:00:00,CGC-100A,0.04739,0.79991,94.31,0.921,2403.0
2024-01-12 12:00:00,CGC-100A,0.04758,0.80532,94.384,0.9207,2402.0
2024-01-12 13:00:00,CGC-100A,0.04777,0.80336,94.068,0.9204,2401.0
2024-01-12 14:00:00,CGC-100A,0.04795,0.80802,93.329,0.9201,2400.0
2024-01-12 15:00:00,CGC-100A,0.04813,0.80016,93.908,0.9198,2399.0
2024-01-12 16:00:00,CGC-100A,0.04831,0.80343,94.447,0.9195,2398.0
2024-01-12 17:00:00,CGC-100A,0.04849,0.80018,94.3,0.9192,2397.0
2024-01-12 18:00:00,CGC-100A,0.04866,0.80564,92.923,0.9189,2396.0
2024-01-12 19:00:00,CGC-100A,0.04883,0.80845,94.762,0.9186,2395.0
2024-01-12 20:00:00,CGC-100A,0.04901,0.80208,94.655,0.9183,2394.0
2024-01-12 21:00:00,CGC-100A,0.04918,0.80781,94.647,0.918,2393.0
2024-01-12 22:00:00,CGC-100A,0.04936,0.80499,94.205,0.9177,2392.0
2024-01-12 23:00:00,CGC-100A,0.04953,0.80404,94.495,0.9175,2391.0
2024-01-13 00:00:00,CGC-100A,0.04969,0.80849,94.03,0.9172,2390.0
2024-01-13 01:00:00,CGC-100A,0.04986,0.80655,95.124,0.9169,2389.0
2024-01-13 02:00:00,CGC-100A,0.05003,0.80331,95.604,0.9166,2388.0
2024-01-13 03:00:00,CGC-100A,0.0502,0.80328,95.5,0.9163,2387.0
2024-01-13 04:00:00,CGC-100A,0.05038,0.80505,95.278,0.916,2386.0
2024-01-13 05:00:00,CGC-100A,0.05055,0.80203,95.902,0.9158,2385.0
2024-01-13 06:00:00,CGC-100A,0.05072,0.80478,95.964,0.9155,2384.0
2024-01-13 07:00:00,CGC-100A,0.05089,0.79966,95.869,0.9152,2383.0
2024-01-13 08:00:00,CGC-100A,0.05106,0.80327,95.892,0.9149,2382.0
2024-01-13 09:00:00,CGC-100A,0.05124,0.7977,95.884,0.9146,2381.0
2024-01-13 10:00:00,CGC-100A,0.05141,0.80199,94.844,0.9143,2380.0
2024-01-13 11:00:00,CGC-100A,0.05158,0.80213,95.257,0.914,2379.0
2024-01-13 12:00:00,CGC-100A,0.05176,0.80354,95.709,0.9137,2378.0
2024-01-13 13:00:00,CGC-100A,0.05193,0.8031,95.797,0.9134,2377.0
2024-01-13 14:00:00,CGC-100A,0.0521,0.802,95.169,0.9132,2376.0
2024-01-13 15:00:00,CGC-100A,0.05227,0.80945,96.155,0.9129,2375.0
2024-01-13 16:00:00,CGC-100A,0.05245,0.79954,95.473,0.9126,2374.0
2024-01-13 17:00:00,CGC-100A,0.05263,0.79682,96.44,0.9123,2373.0
2024-01-13 18:00:00,CGC-100A,0.0528,0.79922,94.528,0.912,2372.0
2024-01-13 19:00:00,CGC-100A,0.05297,0.79686,93.959,0.9117,2371.0
2024-01-13 20:00:00,CGC-100A,0.05314,0.80831,95.116,0.9114,2370.0
2024-01-13 21:00:00,CGC-100A,0.0533,0.80516,95.573,0.9112,2369.0
2024-01-13 22:00:00,CGC-100A,0.05346,0.80273,95.194,0.9109,2368.0
2024-01-13 23:00:00,CGC-100A,0.05361,0.80168,94.065,0.9106,2367.0
2024-01-14 00:00:00,CGC-100A,0.05378,0.80365,95.091,0.9104,2366.0
2024-01-14 01:00:00,CGC-100A,0.05394,0.80365,96.548,0.9101,2365.0
2024-01-14 02:00:00,CGC-100A,0.05411,0.80203,94.904,0.9098,2364.0
2024-01-14 03:00:00,CGC-100A,0.05428,0.80382,96.217,0.9095,2363.0
