ts,train_id,unit,feed_mode,gas_mw,diene_ppm,ambient_temp_c,cw_supply_temp_c,throughput_tph,speed_rpm,shaft_power_kw,surge_margin_pct,recycle_valve_pct,wash_oil_rate_kgph,antifoulant_ppm,run_hours_since_wash,vib_de_um,vib_nde_um,vib_axial_um,brg_de_temp_c,brg_nde_temp_c,brg_thrust_temp_c,lube_oil_press_bar,lube_oil_temp_c,seal_gas_dp_bar,p_s1_suct_bara,p_s1_disch_bara,t_s1_suct_c,t_s1_disch_c,p_s2_suct_bara,p_s2_disch_bara,t_s2_suct_c,t_s2_disch_c,p_s3_suct_bara,p_s3_disch_bara,t_s3_suct_c,t_s3_disch_c,p_s4_suct_bara,p_s4_disch_bara,t_s4_suct_c,t_s4_disch_c,p_s5_suct_bara,p_s5_disch_bara,t_s5_suct_c,t_s5_disch_c
2024-01-01 10:00:00,CGC-100A,Ethylene Unit 100,mixed,26.058,112.8,14.99,20.58,253.81,10658.8,23901.0,24.19,5.7,168.6,5.83,11.0,18.14,17.17,12.22,65.2,66.22,65.1,2.274,42.37,0.562,1.32,2.556,36.2,80.82,2.525,4.91,28.48,72.76,4.851,9.446,28.38,73.22,9.333,18.206,28.58,74.08,17.987,34.761,28.61,73.93
2024-01-01 11:00:00,CGC-100A,Ethylene Unit 100,mixed,26.061,114.4,13.31,20.98,253.61,10713.7,23857.6,24.27,5.9,152.6,6.48,12.0,18.29,16.98,12.24,66.35,67.38,63.45,2.322,41.93,0.488,1.32,2.554,35.02,79.69,2.524,4.901,28.87,73.38,4.842,9.383,29.29,74.19,9.271,18.044,29.21,74.92,17.828,34.708,27.89,73.93
2024-01-01 12:00:00,CGC-100A,Ethylene Unit 100,mixed,26.049,112.9,12.34,22.63,252.71,10722.0,23922.9,21.99,5.4,157.3,5.41,13.0,18.1,16.16,12.48,65.55,67.86,64.62,2.388,40.03,0.555,1.32,2.566,34.77,79.66,2.535,4.926,30.16,74.82,4.867,9.478,30.53,75.89,9.364,18.147,30.56,76.06,17.929,34.621,30.29,76.0
2024-01-01 13:00:00,CGC-100A,Ethylene Unit 100,mixed,25.99,113.9,13.74,21.77,257.58,10668.7,24368.4,22.46,7.2,163.1,6.01,14.0,19.31,16.8,12.07,65.85,67.95,67.53,2.477,42.5,0.59,1.32,2.567,36.38,81.65,2.536,4.914,29.68,74.21,4.855,9.522,29.27,75.1,9.407,18.31,29.54,75.36,18.09,35.105,29.16,75.21
2024-01-01 14:00:00,CGC-100A,Ethylene Unit 100,mixed,25.967,112.3,12.98,21.87,258.11,10752.4,24474.8,23.07,7.3,153.4,4.85,15.0,18.4,16.31,12.41,65.61,65.86,67.15,2.402,41.54,0.538,1.32,2.559,36.81,81.75,2.529,4.913,30.35,74.97,4.854,9.457,29.09,74.21,9.343,18.116,30.79,76.32,17.899,34.867,30.56,76.91
2024-01-01 15:00:00,CGC-100A,Ethylene Unit 100,mixed,25.983,113.1,12.91,20.89,256.32,10737.3,24524.3,23.66,4.6,165.2,5.85,16.0,18.4,16.44,12.33,65.05,64.71,66.19,2.508,41.18,0.559,1.32,2.567,36.05,81.11,2.536,4.952,28.43,73.14,4.893,9.502,29.36,74.31,9.388,18.375,29.25,75.26,18.154,35.405,29.14,75.38
2024-01-01 16:00:00,CGC-100A,Ethylene Unit 100,mixed,26.033,113.4,14.51,20.21,255.29,10701.9,23985.7,23.05,5.4,173.3,5.98,17.0,18.34,16.78,12.12,67.15,66.13,64.86,2.444,42.36,0.567,1.32,2.56,35.96,80.65,2.529,4.916,28.12,72.31,4.857,9.522,28.47,73.8,9.408,18.255,28.52,73.63,18.036,35.029,28.41,74.07
2024-01-01 17:00:00,CGC-100A,Ethylene Unit 100,mixed,25.932,114.9,13.64,21.34,254.46,10710.0,24247.9,22.4,5.4,188.9,6.47,18.0,18.67,16.16,12.41,69.05,65.95,67.54,2.349,42.34,0.519,1.32,2.554,36.59,81.17,2.523,4.912,28.94,73.32,4.853,9.458,29.8,74.88,9.345,18.171,29.78,75.2,17.953,35.024,28.61,74.59
2024-01-01 18:00:00,CGC-100A,Ethylene Unit 100,mixed,26.094,114.5,13.39,22.39,260.47,10703.8,24650.9,22.63,5.8,167.8,6.03,19.0,18.28,16.46,12.32,67.36,69.89,64.06,2.486,42.23,0.568,1.32,2.569,35.63,80.66,2.538,4.922,30.18,74.63,4.863,9.437,29.87,74.81,9.323,18.089,30.93,76.51,17.872,34.684,30.26,76.27
2024-01-01 19:00:00,CGC-100A,Ethylene Unit 100,mixed,26.124,111.2,11.63,20.94,258.38,10708.4,24377.0,22.87,6.7,157.0,5.6,20.0,18.57,16.18,12.77,64.52,66.73,65.31,2.424,41.53,0.573,1.32,2.558,34.65,79.35,2.527,4.904,29.13,73.61,4.846,9.429,29.62,74.86,9.316,18.118,29.25,74.89,17.9,34.679,28.03,73.71
2024-01-01 20:00:00,CGC-100A,Ethylene Unit 100,mixed,26.019,109.4,16.38,21.82,257.3,10629.9,24202.2,22.37,6.7,168.8,6.2,21.0,18.49,16.81,12.58,66.01,68.27,65.21,2.307,43.11,0.557,1.32,2.568,36.4,81.64,2.537,4.903,29.91,74.21,4.844,9.457,29.65,75.14,9.344,18.149,30.01,75.68,17.931,34.645,30.08,75.87
2024-01-01 21:00:00,CGC-100A,Ethylene Unit 100,mixed,25.978,105.7,13.53,22.52,258.48,10706.7,24591.2,23.44,8.9,151.0,6.46,22.0,18.22,16.33,12.14,67.41,66.36,67.9,2.382,42.05,0.601,1.32,2.562,35.8,80.59,2.531,4.885,30.94,75.11,4.826,9.441,31.02,76.67,9.328,18.052,30.05,75.25,17.836,34.646,30.38,76.42
2024-01-01 22:00:00,CGC-100A,Ethylene Unit 100,mixed,25.945,104.0,12.31,20.13,256.67,10704.2,24117.1,23.79,6.9,141.4,6.05,23.0,18.35,16.36,12.11,64.53,66.41,65.09,2.34,40.59,0.553,1.32,2.568,35.37,80.39,2.537,4.931,27.52,71.79,4.872,9.455,28.62,73.44,9.342,18.095,28.31,73.44,17.878,34.78,29.0,75.05
2024-01-01 23:00:00,CGC-100A,Ethylene Unit 100,mixed,26.073,104.6,12.77,21.61,258.67,10681.1,24627.9,22.87,6.6,146.7,5.85,24.0,18.63,16.52,12.89,67.09,66.89,65.69,2.373,42.49,0.511,1.32,2.575,36.17,81.57,2.545,4.913,29.75,73.93,4.854,9.466,29.12,74.43,9.353,18.201,30.12,75.92,17.983,35.129,30.19,76.8
2024-01-02 00:00:00,CGC-100A,Ethylene Unit 100,mixed,25.913,104.5,12.64,21.88,258.04,10762.4,24572.9,22.31,6.4,141.4,6.24,25.0,18.88,17.32,12.11,65.66,65.93,64.52,2.37,41.99,0.559,1.32,2.554,36.25,81.36,2.523,4.909,29.56,74.55,4.85,9.373,30.05,75.13,9.261,17.99,30.47,76.5,17.774,34.331,30.89,77.07
2024-01-02 01:00:00,CGC-100A,Ethylene Unit 100,mixed,25.87,103.4,14.28,20.39,254.22,10693.8,24175.3,22.52,7.0,143.9,6.43,26.0,18.5,16.45,12.44,67.54,68.17,63.58,2.309,42.25,0.49,1.32,2.568,35.45,80.49,2.537,4.93,28.11,72.48,4.871,9.575,28.55,74.29,9.46,18.312,28.49,73.62,18.092,35.009,28.25,73.81
2024-01-02 02:00:00,CGC-100A,Ethylene Unit 100,mixed,25.814,105.3,12.98,21.96,261.75,10761.3,24973.1,21.98,5.8,151.3,5.29,27.0,18.54,16.36,12.14,66.33,67.78,67.82,2.421,41.71,0.562,1.32,2.579,35.52,81.3,2.548,4.936,30.68,75.61,4.876,9.496,29.41,75.02,9.382,18.186,30.16,76.06,17.968,35.026,28.78,75.4
2024-01-02 03:00:00,CGC-100A,Ethylene Unit 100,mixed,25.758,105.2,12.57,20.16,263.41,10735.9,25062.5,23.6,6.5,129.6,6.58,28.0,18.96,16.17,12.56,64.76,67.36,66.12,2.41,41.76,0.508,1.32,2.58,36.34,81.75,2.549,4.936,27.9,71.86,4.876,9.467,28.08,72.74,9.353,18.246,29.31,75.01,18.027,35.057,28.33,74.15
2024-01-02 04:00:00,CGC-100A,Ethylene Unit 100,mixed,25.805,106.7,11.1,23.01,256.03,10707.6,24540.8,22.38,6.8,148.8,5.39,29.0,18.26,16.73,12.13,66.3,68.3,61.39,2.441,41.87,0.551,1.32,2.56,35.29,80.18,2.529,4.936,30.96,76.16,4.877,9.494,30.53,75.98,9.38,18.2,30.43,76.12,17.981,34.789,31.27,77.38
2024-01-02 05:00:00,CGC-100A,Ethylene Unit 100,mixed,25.735,101.8,11.56,21.38,256.72,10676.7,24527.2,22.58,7.0,138.9,6.11,30.0,19.56,16.27,12.52,65.4,68.34,67.15,2.374,40.42,0.607,1.32,2.569,34.63,79.45,2.538,4.962,29.48,74.34,4.902,9.516,29.71,74.59,9.402,18.293,28.76,74.15,18.074,35.254,28.64,74.71
2024-01-02 06:00:00,CGC-100A,Ethylene Unit 100,mixed,25.912,102.5,13.61,20.91,259.92,10752.8,24727.4,23.19,5.7,138.8,5.87,31.0,18.34,16.48,12.05,66.96,67.27,64.91,2.431,42.26,0.498,1.32,2.58,36.09,81.43,2.549,4.975,29.17,73.88,4.915,9.556,29.53,74.49,9.441,18.263,28.68,73.65,18.044,35.119,29.61,75.68
2024-01-02 07:00:00,CGC-100A,Ethylene Unit 100,mixed,25.953,104.3,12.83,20.08,255.76,10673.8,24092.1,22.98,4.8,149.2,7.06,32.0,18.19,16.18,12.59,66.43,66.51,66.36,2.336,41.24,0.551,1.32,2.574,34.76,80.06,2.543,4.936,27.85,72.29,4.876,9.489,28.8,74.06,9.375,18.218,28.08,73.63,18.0,34.948,28.54,74.61
2024-01-02 08:00:00,CGC-100A,Ethylene Unit 100,mixed,26.05,103.9,16.69,21.54,258.45,10722.2,24432.3,22.69,5.2,145.1,6.71,33.0,18.42,16.13,12.12,67.85,66.72,66.18,2.417,41.53,0.567,1.32,2.559,36.32,81.14,2.529,4.949,29.84,74.86,4.889,9.5,30.44,75.52,9.386,18.153,29.52,74.62,17.935,34.607,29.64,75.1
2024-01-02 09:00:00,CGC-100A,Ethylene Unit 100,mixed,26.217,107.0,13.44,20.99,258.0,10730.9,24043.6,22.48,5.7,119.8,5.82,34.0,18.3,16.72,12.34,67.45,67.61,64.43,2.411,42.89,0.581,1.32,2.564,34.89,79.56,2.533,4.929,28.53,72.88,4.87,9.419,29.17,73.66,9.306,18.029,28.8,73.84,17.813,34.767,28.26,74.27
2024-01-02 10:00:00,CGC-100A,Ethylene Unit 100,mixed,26.304,108.9,13.13,21.24,262.14,10710.2,24688.8,21.84,7.3,172.4,6.23,35.0,18.4,16.82,13.14,67.87,67.23,68.26,2.314,41.62,0.524,1.32,2.577,35.5,80.87,2.546,4.951,29.34,73.99,4.892,9.521,29.51,74.75,9.407,18.282,29.81,75.48,18.062,35.285,29.37,75.87
2024-01-02 11:00:00,CGC-100A,Ethylene Unit 100,mixed,26.388,109.5,15.06,21.22,254.86,10681.5,23634.8,22.96,4.8,162.6,5.87,36.0,18.24,16.42,12.15,67.13,66.84,65.1,2.317,41.97,0.549,1.32,2.561,36.09,80.75,2.53,4.902,29.19,73.23,4.844,9.419,29.7,74.57,9.305,18.103,28.1,73.26,17.886,34.893,29.44,75.51
2024-01-02 12:00:00,CGC-100A,Ethylene Unit 100,mixed,26.221,110.6,15.44,22.21,257.24,10641.6,24286.7,23.18,6.5,160.2,5.35,37.0,18.46,16.41,12.48,67.72,68.47,65.12,2.412,41.33,0.536,1.32,2.568,36.66,81.99,2.537,4.957,30.06,75.19,4.897,9.491,29.85,74.87,9.377,18.333,30.99,77.32,18.113,35.221,30.61,77.0
2024-01-02 13:00:00,CGC-100A,Ethylene Unit 100,mixed,26.013,112.5,14.59,22.3,259.55,10715.3,24696.9,23.59,6.7,155.0,7.11,38.0,18.85,16.59,12.38,68.79,67.68,66.99,2.359,42.18,0.536,1.32,2.578,34.86,80.02,2.547,4.936,30.14,74.54,4.877,9.5,30.55,75.87,9.386,18.324,31.07,77.14,18.105,34.991,30.27,75.97
2024-01-02 14:00:00,CGC-100A,Ethylene Unit 100,mixed,26.099,113.4,13.18,20.08,258.95,10721.8,24349.1,24.26,7.0,165.8,5.54,39.0,19.12,16.31,13.02,67.23,65.39,67.03,2.368,41.38,0.473,1.32,2.546,35.9,80.4,2.515,4.878,28.21,72.48,4.82,9.425,28.27,73.62,9.312,18.036,27.41,72.44,17.82,34.524,27.92,73.54
2024-01-02 15:00:00,CGC-100A,Ethylene Unit 100,mixed,26.084,112.5,9.06,21.26,262.91,10718.1,24491.8,24.66,5.1,163.7,5.57,40.0,18.82,16.3,12.39,65.03,68.25,66.69,2.42,39.35,0.577,1.32,2.566,34.88,80.02,2.536,4.894,29.01,73.25,4.836,9.323,28.71,73.3,9.211,17.828,28.96,74.37,17.614,34.107,29.72,75.78
2024-01-02 16:00:00,CGC-100A,Ethylene Unit 100,mixed,25.931,111.3,14.94,22.05,259.59,10740.6,24689.8,22.95,4.7,178.1,6.28,41.0,18.64,16.2,12.23,67.96,67.77,65.48,2.354,42.57,0.488,1.32,2.585,36.16,81.85,2.554,4.939,29.43,73.73,4.88,9.506,30.13,75.52,9.392,18.173,29.97,75.35,17.955,34.911,29.58,75.78
2024-01-02 17:00:00,CGC-100A,Ethylene Unit 100,mixed,25.858,115.2,14.75,20.74,259.66,10722.0,24709.9,23.28,6.3,164.8,5.91,42.0,18.75,16.67,12.62,65.09,69.33,67.92,2.456,42.01,0.563,1.32,2.571,36.26,81.22,2.54,4.915,28.95,72.87,4.856,9.43,28.86,73.49,9.317,18.066,28.73,73.74,17.849,34.635,28.81,74.37
2024-01-02 18:00:00,CGC-100A,Ethylene Unit 100,mixed,25.892,114.8,12.22,21.84,262.9,10738.2,24828.3,23.05,5.6,174.6,5.8,43.0,18.63,16.65,12.51,67.66,69.7,67.36,2.422,41.5,0.536,1.32,2.558,35.65,80.75,2.527,4.891,29.74,74.39,4.832,9.378,30.37,75.79,9.265,17.904,30.11,75.67,17.689,34.323,29.59,75.88
2024-01-02 19:00:00,CGC-100A,Ethylene Unit 100,mixed,26.107,115.1,13.06,20.9,256.07,10727.1,24147.7,22.57,7.0,151.8,6.67,44.0,18.51,16.17,12.29,63.9,67.52,66.84,2.378,40.67,0.523,1.32,2.562,35.78,80.72,2.531,4.952,28.36,73.28,4.893,9.488,29.1,73.97,9.374,18.279,29.07,74.84,18.06,34.999,28.16,73.84
2024-01-02 20:00:00,CGC-100A,Ethylene Unit 100,mixed,26.097,116.5,13.9,22.66,256.2,10721.4,24335.7,23.01,7.3,153.2,6.89,45.0,18.22,16.25,12.39,70.52,66.36,64.93,2.456,40.28,0.546,1.32,2.55,35.68,80.61,2.52,4.884,29.85,74.64,4.825,9.356,30.79,76.23,9.243,17.988,30.66,76.86,17.772,34.494,30.04,76.46
2024-01-02 21:00:00,CGC-100A,Ethylene Unit 100,mixed,25.889,117.5,13.59,21.83,261.41,10773.2,24783.6,24.88,5.8,169.9,5.15,46.0,18.49,16.71,12.94,67.0,67.33,65.93,2.365,40.96,0.553,1.32,2.575,35.91,81.16,2.544,4.942,29.65,74.18,4.882,9.424,29.32,73.83,9.311,18.139,29.78,75.52,17.921,34.634,29.72,75.37
2024-01-02 22:00:00,CGC-100A,Ethylene Unit 100,mixed,25.924,116.7,14.72,21.13,264.85,10777.1,25075.5,23.08,6.1,176.7,6.44,47.0,18.74,16.74,12.78,67.91,67.99,66.49,2.403,43.54,0.547,1.32,2.559,36.83,81.77,2.528,4.908,28.81,73.15,4.85,9.427,28.38,73.24,9.314,18.152,29.08,74.73,17.934,34.873,29.24,75.26
2024-01-02 23:00:00,CGC-100A,Ethylene Unit 100,mixed,25.995,114.8,10.39,20.41,259.26,10712.9,24257.4,21.66,5.5,143.7,5.56,48.0,18.95,16.62,12.87,67.33,64.76,66.92,2.422,41.12,0.528,1.32,2.549,33.61,77.79,2.519,4.869,27.67,71.54,4.811,9.296,28.98,73.49,9.185,17.889,29.11,74.71,17.674,34.208,29.13,74.77
2024-01-03 00:00:00,CGC-100A,Ethylene Unit 100,mixed,25.985,113.5,12.92,21.27,261.99,10716.6,24799.4,22.19,4.5,153.4,5.7,49.0,18.51,16.27,12.16,68.2,68.36,67.18,2.418,42.12,0.533,1.32,2.565,35.33,80.44,2.534,4.91,28.94,73.38,4.851,9.395,29.32,74.28,9.282,18.094,29.72,75.71,17.877,34.817,29.15,75.51
2024-01-03 01:00:00,CGC-100A,Ethylene Unit 100,mixed,25.904,111.4,14.51,21.65,260.34,10732.9,24572.5,24.57,7.3,157.6,5.33,50.0,18.74,16.19,12.8,69.47,66.63,66.2,2.496,42.62,0.558,1.32,2.562,35.78,80.78,2.531,4.913,29.11,73.61,4.854,9.432,30.15,75.37,9.319,18.008,29.91,75.19,17.792,34.625,29.61,75.88
2024-01-03 02:00:00,CGC-100A,Ethylene Unit 100,mixed,25.822,108.3,13.64,21.5,259.36,10738.0,24758.6,22.99,5.0,158.2,5.68,51.0,19.08,16.95,12.42,69.9,67.71,65.24,2.398,42.61,0.527,1.32,2.566,36.58,81.58,2.535,4.92,28.43,72.58,4.861,9.468,29.43,74.48,9.354,18.211,30.09,75.71,17.993,34.966,29.73,75.67
2024-01-03 03:00:00,CGC-100A,Ethylene Unit 100,mixed,25.937,106.7,11.85,21.86,260.07,10728.4,24599.5,24.17,6.6,168.0,6.02,52.0,18.93,16.23,12.64,65.57,69.1,67.94,2.426,40.85,0.558,1.32,2.57,35.49,80.45,2.539,4.916,30.27,74.55,4.857,9.394,30.44,75.16,9.281,17.937,30.0,75.09,17.722,34.222,30.53,76.14
2024-01-03 04:00:00,CGC-100A,Ethylene Unit 100,mixed,25.962,105.7,12.96,21.42,259.68,10698.4,24903.5,22.92,5.1,144.1,6.08,53.0,19.35,17.06,12.31,66.22,66.98,64.84,2.457,41.42,0.547,1.32,2.579,36.34,81.77,2.548,4.994,29.73,74.9,4.934,9.617,28.5,73.57,9.502,18.568,29.04,74.88,18.345,35.776,29.52,75.8
2024-01-03 05:00:00,CGC-100A,Ethylene Unit 100,mixed,25.881,106.0,12.76,21.48,258.44,10668.0,24775.0,22.27,5.0,165.6,6.68,54.0,18.51,16.5,12.16,66.17,67.01,66.28,2.474,41.59,0.548,1.32,2.562,35.4,80.34,2.531,4.907,28.84,73.2,4.848,9.452,29.25,74.59,9.339,18.2,29.04,74.81,17.981,34.973,29.7,75.93
2024-01-03 06:00:00,CGC-100A,Ethylene Unit 100,mixed,25.779,107.1,13.43,19.83,260.45,10701.6,24738.6,22.65,7.8,147.3,5.33,55.0,18.79,16.4,12.24,64.91,67.24,63.76,2.359,41.72,0.554,1.32,2.561,34.73,79.61,2.53,4.916,27.8,72.24,4.857,9.461,28.12,73.29,9.348,18.122,28.02,73.32,17.905,34.684,27.93,73.66
2024-01-03 07:00:00,CGC-100A,Ethylene Unit 100,mixed,25.792,108.6,12.82,22.09,257.99,10748.4,24755.9,22.64,4.8,178.8,6.51,56.0,18.72,16.45,12.71,68.2,66.42,68.46,2.456,43.17,0.55,1.32,2.549,35.5,80.19,2.518,4.903,30.85,75.96,4.844,9.344,30.31,75.14,9.231,17.992,30.47,76.59,17.776,34.679,30.29,76.96
2024-01-03 08:00:00,CGC-100A,Ethylene Unit 100,mixed,25.805,106.5,11.5,21.7,260.23,10760.2,25154.9,23.31,5.4,156.1,6.72,57.0,18.73,16.32,12.55,64.51,66.29,66.17,2.366,40.89,0.573,1.32,2.573,33.76,78.97,2.542,4.936,29.84,74.66,4.877,9.497,29.16,74.58,9.383,18.217,29.53,75.29,17.998,35.251,29.33,76.22
2024-01-03 09:00:00,CGC-100A,Ethylene Unit 100,mixed,25.934,105.9,12.12,22.04,261.61,10723.1,24874.4,22.08,6.7,165.7,5.84,58.0,19.25,16.29,12.12,64.04,69.23,65.01,2.444,41.23,0.528,1.32,2.582,34.97,80.61,2.551,4.989,30.37,75.81,4.929,9.586,29.36,74.73,9.471,18.385,30.42,76.32,18.165,35.252,29.6,75.86
2024-01-03 10:00:00,CGC-100A,Ethylene Unit 100,mixed,26.032,106.8,13.23,21.7,259.45,10700.6,24430.0,23.61,7.6,155.7,5.33,59.0,18.46,16.82,12.8,64.55,65.94,64.75,2.405,41.82,0.51,1.32,2.582,36.23,82.04,2.551,4.935,30.8,75.5,4.876,9.449,29.24,74.33,9.336,18.087,29.78,75.42,17.87,34.922,29.9,76.72
2024-01-03 11:00:00,CGC-100A,Ethylene Unit 100,mixed,26.09,107.6,15.48,20.72,259.2,10670.5,24476.7,23.09,4.9,157.2,5.49,60.0,18.53,16.3,12.32,67.64,66.16,65.33,2.337,42.08,0.59,1.32,2.564,37.06,82.03,2.534,4.97,28.43,73.3,4.91,9.524,29.14,73.81,9.41,18.225,29.25,74.31,18.007,34.962,28.64,74.3
2024-01-03 12:00:00,CGC-100A,Ethylene Unit 100,mixed,26.131,107.1,15.49,20.65,258.34,10719.2,24348.6,22.11,5.0,156.0,5.5,61.0,18.92,16.81,12.67,68.87,66.08,66.11,2.403,42.58,0.511,1.32,2.573,37.34,82.59,2.543,4.928,28.41,72.41,4.869,9.512,27.98,72.96,9.398,18.239,28.26,73.3,18.02,35.019,29.14,74.92
2024-01-03 13:00:00,CGC-100A,Ethylene Unit 100,mixed,26.179,106.8,14.04,21.5,255.88,10710.9,24154.1,23.99,6.4,147.7,6.69,62.0,18.78,16.45,12.16,68.53,66.49,64.03,2.456,41.59,0.561,1.32,2.568,35.87,80.97,2.537,4.941,29.52,74.24,4.882,9.53,29.24,74.59,9.416,18.284,30.42,76.05,18.065,35.125,30.26,76.48
2024-01-03 14:00:00,CGC-100A,Ethylene Unit 100,mixed,26.239,108.0,12.35,20.25,254.36,10722.9,23924.7,22.62,5.6,151.1,5.75,63.0,18.58,16.68,12.31,66.09,66.93,65.41,2.396,41.37,0.555,1.32,2.568,35.43,80.79,2.537,4.94,27.94,72.72,4.881,9.548,28.23,73.9,9.434,18.293,28.02,73.52,18.073,35.091,26.89,72.81
2024-01-03 15:00:00,CGC-100A,Ethylene Unit 100,mixed,26.157,109.0,13.12,21.06,260.02,10727.5,24326.1,22.17,4.9,172.6,5.76,64.0,19.15,16.48,12.86,67.31,65.8,64.66,2.507,41.36,0.488,1.32,2.563,35.34,80.27,2.533,4.935,29.38,74.15,4.876,9.515,28.56,73.82,9.401,18.238,29.37,74.81,18.019,34.743,29.02,74.46
2024-01-03 16:00:00,CGC-100A,Ethylene Unit 100,mixed,26.097,109.4,14.49,19.45,258.85,10751.0,24218.0,22.25,4.9,155.3,5.96,65.0,19.14,16.33,12.44,65.08,65.34,65.65,2.461,42.92,0.557,1.32,2.568,36.53,81.76,2.537,4.955,27.73,72.44,4.895,9.487,27.03,71.57,9.373,18.231,27.93,73.35,18.012,34.817,27.47,72.87
